Material system ,Applied load,stress,elongation (mm),strain
1T,0,0,0,0
1T,30.65625,0.75433686,0,0
1T,91.96875,2.263010581,1.25,0.010869565
1T,181.485,4.465674213,2.5,0.02173913
1T,299.205,7.362327756,3.75,0.032608696
1T,429.1875,10.56071604,5,0.043478261
1T,561.6225,13.81945128,6.25,0.054347826
1T,674.4375,16.59541093,7.5,0.065217391
1T,766.40625,18.85842151,8.75,0.076086957
1T,851.0175,20.94039124,10,0.086956522
1T,917.235,22.56975886,11.25,0.097826087
1T,995.715,24.50086122,12.5,0.108695652
1T,1054.575,25.94918799,13.75,0.119565217
1T,1103.625,27.15612697,15,0.130434783
1T,1152.675,28.36306594,16.25,0.141304348
1T,1173.276,28.86998031,17.5,0.152173913
1T,1195.59375,29.41913755,18.75,0.163043478
1T,1206.63,29.69069882,20,0.173913044
1T,1216.44,29.93208661,21.25,0.184782609
1T,1211.535,29.81139272,22.7,0.197391304
1T,181.485,4.465674213,22.9,0.199130435
2T,0,0,0,0
2T,58.86,1.448326772,0.625,0.005434783
2T,107.91,2.655265748,1.25,0.010869565
2T,235.44,5.793307087,2.5,0.02173913
2T,382.59,9.414124016,3.75,0.032608696
2T,568.98,14.00049213,5,0.043478261
2T,744.579,18.32133366,6.25,0.054347826
2T,861.318,21.19384843,7.5,0.065217391
2T,1113.435,27.39751476,8.75,0.076086957
2T,1270.395,31.25971949,10,0.086956522
2T,1427.355,35.12192421,11.25,0.097826087
2T,1630.9125,40.13072096,12.5,0.108695652
2T,1819.755,44.77743602,13.75,0.119565217
2T,2015.955,49.60519193,15,0.130434783
2T,2177.82,53.58809055,16.25,0.141304348
2T,2266.11,55.76058071,17.5,0.152173913
2T,2305.35,56.72613189,18.75,0.163043478
2T,2305.35,56.72613189,19.29,0.16773913
2T,2207.25,54.31225394,19.375,0.168478261
2T,941.76,23.17322835,19.5,0.169565217
3T,0,0,0,0
3T,27.468,0.675885827,0.1,0.000869565
3T,30.65625,0.75433686,0.2,0.00173913
3T,61.3125,1.50867372,0.75,0.006521739
3T,122.625,3.017347441,1.5,0.013043478
3T,199.143,4.900172244,2.25,0.019565217
3T,300.186,7.386466535,3,0.026086957
3T,398.53125,9.806379183,3.75,0.032608696
3T,490.5,12.06938976,4.5,0.039130435
3T,586.638,14.43499016,5.25,0.045652174
3T,674.4375,16.59541093,6,0.052173913
3T,785.781,19.3351624,6.75,0.058695652
3T,858.375,21.12143209,7.5,0.065217391
3T,950.34375,23.38444267,8.25,0.07173913
3T,1077.138,26.50437992,9,0.07826087
3T,1084.986,26.69749016,9.75,0.084782609
3T,1142.865,28.12167815,10.5,0.091304348
3T,1196.82,29.44931102,11.25,0.097826087
3T,1206.63,29.69069882,11.4,0.099130435
3T,1188.972,29.25620079,11.5,0.1
3T,613.125,15.0867372,11.6,0.100869565
4T,0,0,0,0
4T,27.468,0.675885827,0.15,0.001304348
4T,61.3125,1.50867372,0.75,0.006521739
4T,115.2675,2.836306594,1.5,0.013043478
4T,195.219,4.803617126,2.25,0.019565217
4T,292.338,7.193356299,3,0.026086957
4T,377.685,9.293430118,3.75,0.032608696
4T,477.747,11.75558563,4.5,0.039130435
4T,582.46875,14.33240034,5.25,0.045652174
4T,674.4375,16.59541093,6,0.052173913
4T,752.427,18.5144439,6.75,0.058695652
4T,844.641,20.78348917,7.5,0.065217391
4T,912.8205,22.46113435,8.25,0.07173913
4T,988.848,24.33188976,9,0.07826087
4T,1061.442,26.11815945,9.75,0.084782609
4T,1110.492,27.32509843,10.5,0.091304348
4T,1164.9375,28.66480069,11.25,0.097826087
4T,1178.181,28.99067421,11.5,0.1
4T,998.658,24.57327756,11.8,0.102608696
4T,613.125,15.0867372,12,0.104347826
4T,213.3675,5.250184547,12.1,0.105217391
5T,0,0,0,0
5T,27.468,0.675885827,0.1,0.000869565
5T,79.461,1.955241142,1,0.008695652
5T,181.485,4.465674213,2,0.017391304
5T,293.319,7.217495079,3,0.026086957
5T,409.077,10.06587106,4,0.034782609
5T,540.531,13.30046752,5,0.043478261
5T,656.289,16.1488435,6,0.052173913
5T,732.807,18.03166831,7,0.060869565
5T,864.261,21.26626476,8,0.069565217
5T,973.152,23.94566929,9,0.07826087
5T,1059.48,26.06988189,10,0.086956522
5T,1131.093,27.8320128,11,0.095652174
5T,1208.592,29.73897638,12,0.104347826
5T,1255.68,30.8976378,13,0.113043478
5T,1285.11,31.62180118,14,0.12173913
5T,1294.92,31.86318898,14.6,0.126956522
5T,1262.547,31.06660925,15,0.130434783
5T,1236.06,30.4148622,15.25,0.132608696
5T,529.74,13.03494094,15.4,0.133913044
6T,0,0,0,0
6T,93.195,2.293184055,1,0.008695652
6T,130.473,3.210457677,2,0.017391304
6T,255.06,6.276082677,3,0.026086957
6T,382.59,9.414124016,4,0.034782609
6T,510.12,12.55216535,5,0.043478261
6T,625.878,15.40054134,6,0.052173913
6T,733.2975,18.0437377,7,0.060869565
6T,843.66,20.75935039,8,0.069565217
6T,931.95,22.93184055,9,0.07826087
6T,1030.05,25.3457185,10,0.086956522
6T,1098.72,27.03543307,11,0.095652174
6T,1179.6525,29.02688238,12,0.104347826
6T,1211.535,29.81139272,13,0.113043478
6T,1231.155,30.29416831,14,0.12173913
6T,1236.06,30.4148622,15,0.130434783
6T,1236.04,30.41437008,15.2,0.132173913
6T,164.3175,4.043245571,15.5,0.134782609
